बश	bs
तो	to
तुझे	tjhe
अपनी	apni
बनाना	bnana
चाहता	chahta
हे	h
वो	vo
अगर	agr
इकीन	yakeen
नई	nai
हो	h
तो	to
उसे	use
बोल	bol
के	k
तू	tu
उस	us
से	se
तबहि	tbi
बात	bat
करेगि	kregi
ज़ब	jb
वो	vo
अपनी	apni
को	ko
छोर	chd
दे	de
तेरे	tere
लिए	liye
अपनी	apni
को	ko
बताए	btaye
तेरे	tere
बारे	baare
में	m
तुझे	tjhe
कहो	khud
समझ	smjh
आ	aa
जाएगा	jaega
तेरे	tere
साथ	sath
कनसा	knsa
चल	chal
राहा	rha
ह	h
तू	tu
पक्का	pakka
उसे	usse
पुछति	puchti
रहति	rhti
होगीके	hogi
के	k
उसे	use
तुझमे	tjme
का	ka
पसन्द	pasand
हे	h
या	ya
तू	tu
कैसी	kasi
लग	lag
रही	ri
हे	h
एइसा	esa
हामारि	hmari
वाली	wali
करती	krti
हे	h
कभि	kbi
उसने	usne
किसी	kisi
भी	b
को	ko
से	se
नेहि	nh
दिए	die
इतना	itna
भी	bhi
हम	hum
कुछ	kuchh
नहीं	nhi
लिख	likh
कर	kar
आए	aaye
जो	jo
इनको	inko
इतना	itna
लग	lag
रहा	raha
हे	h
करने	karne
में	mein
शाले	sale
कमीने	kamine
क	k
साथ	sath
भी	v
होती	hoti
है	hai
तेरे	tere
घर	ghr
पे	pe
अपने	apne
बाप	baap
के	k
साथ	sath
क्यू	q
नही	nahi
करता	karta
अगर	agar
नही	nahi
होती	hoti
तो	to
आज	aj
उसके	uske
जिन्दा	jinda
होते	hote
अपनी	apni
बाहादुरि	bahaduri
तो	to
ऐसे	aise
के	ke
में	me
सूना	suna
रही	rahi
है	hai
जैसे	jaise
तीर	teer
मारी	maari
हो	ho
अरे	are
भाई	bhai
का	ka
वाला	wala
लो	lo
इस	is
समस्या	samasya
से	se
छुटकारा	chutkara
पाऊँ	pao
क्या	kya
ज़माना	zamaana
आ	aa
गया	gaya
है	hia
हमें	humein
तो	to
ऐसे	aise
नज़ारे	nazaare
कभी	kabhi
नसीब	naseeb
ना	na
हैं	huye
कभी	kabhi
भी	bhi
की	ki
होती	hoti
बिना	bina
दादी	dadi
या	ya
मचे	muchhe
क	k
कोई	koi
नी	ni
मिलेगा	milega
तुम्हे	tumhe
में	me
बाप	baapu
को	ko
पापा	papa
केहते	khte
ह	h
ऐसे	aise
को	ko
सब	sb
च***इय़ापा	ch***yapa
केहते	khte
हे	h
आच्छा	acha
हुआ	hua
ने	ne
छोड़	chod
दिया	diya
अब	ab
तेरा	tera
ओय़ाक्त	wakt
कुछ	kuch
में	me
लगेगा	lagega
भाई	bhai
फद्दु	phadu
हे	h
की	ki
तरहा	trh
में	me
भी	bhi
इनकी	inki
बननि	bnni
चाहिए	chahiye
ओय़ेसे	wese
दोगा	doga
की	ki
बन	bn
रहि	rhi
हे	h
तक	tk
आजाय़ेगि	ajayegi
बेटा	beta
हम	hum
भी	bhi
में	mein
बैठ	baith
के	ke
एहि	yhi
सोच	soch
रहे	rahe
हे	h
बेटा	beta
किसी	kisi
और	aur
की	ki
होने	hone
दे	de
सब	sab
पता	pata
चल	chal
जाएगा	jaega
तेरे	tere
जैसे	jaise
बन्दे	bande
ही	he
में	mein
जा	ja
कर	kr
लिखते	likhte
दे	h
अपने	apne
पे	pe
की	ki
जगह	jagah
चिपका	chipka
लेती	leti
तो	to
मज़ा	maza
आता	ata
में	me
मसाला	masala
दाल	daal
देना	dena
इस	is
ने	ne
पका	paka
दिया	diya
इय़ार	yr
क्या	kya
चाहते	chahte
हो	ho
तुम	tum
लोग	log
हम	hum
लोग	log
खुदखुसि	khudkhusi
कर	kr
ले	le
क्या	kya
साला	sala
प्याय़ार	pyr
भी	bi
आजकल	aajkal
बहुत	bahut
का	ka
चल	chl
रहा	raha
हे	h
बाकी	baaki
सब	sab
को	ko
को	ko
मारो	maaro
गोली	goli
आज	a
मैने	mene
खाया	khya
सो	so
जाओ	jao
इतनी	itni
मेहनत	mehnat
मत	mat
करो	karo
वरना	warna
कर	kar
जाओगे	jaoge
होता	hota
ह	h
इय़ार	yr
जो	jo
होते	hote
हे	h
उनके	unke
साथ	sath
अक्सर	aksar
होता	hota
हे	h
कोई	koi
मेरे	mere
से	se
करलो	krlo
मेरे	mere
से	se
होर	hor
नई	nai
रहा	raha
जाता	jata
तेरे	tere
लिए	liye
लड़का	ladka
लड़की	ladki
हो	h
तो	to
तू	tu
शादि	shadi
करते	krte
करना	krna
वाला	wala
किस्से	kisse
शादि	shadi
करु	krun
लड़के	ladke
से	se
या	yaa
लड़की	ladki
से	se
वाली	wali
की	ki
लड़की	ladki
को	ko
पटाने	ptane
चला	chala
था	ta
बेटा	beta
ससुराल	sasural
कैसा	kaisa
लगा	laga
अरे	are
पेहले	phle
तो	to
लेता	leta
के	k
हे	h
कन	kn
पे	pe
आइभि	aivi
बकने	bakne
लगा	lga
इस	is
देश	desh
को	ko
लुट	loot
के	k
खा	kha
जाओ	jao
योजना	yojna
ऐसा	aisa
कर	kar
उसका	uska
बजा	baja
उसकी	uski
बन्दिओ	bandiyo
के	k
सामने	saamne
मूह	muh
उठा	utha
के	ke
सबको	sbko
भाई	bhai
बहन	bahen
क्यू	kyu
बना	bna
राहा	rha
हे	h
लरकि	ldki
तो	to
दूसरी	dusri
मिल	mil
जाएगी	jayegi
पर	par
दोस्त	dost
दूसरा	dusra
कहा	kaha
ढूंढेगा	dhundega
पागले	pgle
बेबकुफ	bevkoof
लड़के	ladke
ये	ye
हे	h
नहीं	nhi
लिखनि	likhni
हे	h
इँहा	yha
एक	ek
बात	baat
तो	toh
पता	pata
चल	chal
गया	gae
की	ki
आप	aap
जो	jo
भी	bi
करते	karte
हो	ho
वो	wo
आपको	aapko
समझ	samajh
नी	ni
आरहा	aara
है	hai
इसलिए	isliye
यार	yaar
इतनी	itni
भी	bi
सती	sati
साबित्रि	savitri
मत	mat
बन	ban
पहले	pehle
कहो	khud
करती	karti
हे	h
फिर	phir
हाँ	haan
बोलती	bolti
हे	h
फिर	phir
कहती	kehti
हे	h
की	ki
मै	mai
किसी	kisi
के	ke
के	ke
साथ	sath
नहीं	nhi
खेलती	khelti
भाइ	bhaiiiii
वो	wo
इस	is
लिए	liye
की	ki
वह	weh
केवल	kewal
माहिलाओ	mahilayo
के	k
लिए	liye
अप्रकाशित	aarakshit
था	tha
और	aur
उसका	uska
हक	hq
था	tha
बुढढे	buddhe
ने	n
किया	kiya
इय़ार	yr
ऐसा	aisa
कर	kar
थोड़ा	thoda
बन	ban
जा	ja
और	aur
अपनी	apni
का	ka
पिछा	picha
छो	chodh
पुरानी	purani
हो	ho
ग्याय़ि	gyi
ही	he
पकड़	pakad
भाई	bhai
सही	sahi
कह	keh
रह	rahe
हो	ho
और	aur
अब	ab
तो	to
ज़िन्दगी	zindagi
झान्डड	jhand
भी	bhi
नही	nahi
करता	karta
अब	ab
तो	to
एकदम	ekdam
हो	ho
चुका	chuka
है	hai
अरे	are
मुझे	mujhe
पाता	pta
हे	h
भुलना	bhulna
बहुत	bhut
मुश्किल	mushkil
होता	hota
हे	h
क्युकी	kuki
यह	y
सब	sab
म्याय़ने	mne
भी	bh
झेला	jhela
है	h
दो	do
तरिखे	tarike
हे	h
एक	ek
आसान	asan
एक	ek
मुशकिल	mushkl
पहला	phela
भर	bhar
निकल	nikal
म	m
या	ya
फिर	phir
कोई	koi
घर	ghar
के	k
पास	pas
में	m
एक	ek
मस्त	mast
सा	s
लड़का	ladka
देख	dekh
दिन	din
देख	dekh
अपने	apne
आप	aap
भूल	bhul
जाएगी	jayegi
हो	ho
सकता	sakta
हे	h
ये	y
वाला	wala
उससे	use
काफ़ी	kafi
आच्छा	acha
हो	ho
दूसरा	dusra
अगर	agar
कम	kam
ना	na
करे	kare
तो	to
अपने	apne
के	k
बारे	bare
में	m
सोच	soch
उनके	unke
लिय़े	liy
जी	ji
ये	y
कर	kar
के	k
जो	jo
तू	tu
उन्हे	unhe
देने	dne
वाली	wali
हे	h
उनके	unke
चाहरे	chahre
सोच	soch
जब	jab
उन्हे	unhe
ये	y
सब	sab
पाता	pta
लगेगा	lagega
तुझे	tuje
मओका	moka
नही	ni
मिल	mil
राहा	rha
तो	to
अपना	apna
इस	is
में	me
निकल	nikal
राहा	rha
हे	h
कोई	koi
काम	kam
नही	ni
हे	h
क्या	kya
इय़ार	yr
गलति	glti
तो	to
तूने	tune
की	ki
हे	h
एय़से	aese
कोई	koi
में	me
हेरा	hera
फेरि	feri
करता	krta
हे	h
क्या	kya
अब	ab
तुझे	tuje
बो	b
नही	ni
पाता	pta
था	tha
के	k
एय़सा	aesa
कुछ	kuch
होगा	hoga
तू	tu
उस	use
समझाने	smjhane
की	ki
कोशिश	koshish
कर	kr
अब	ab
जो	jo
होना	hona
था	tha
हो	ho
गया	gya
ये	ye
सब	sb
तूने	tune
में	me
पहले	pahle
क्यू	kyu
नई	nai
सोच	soch
जो	jo
अब	ab
सोच	soch
रहा	raha
है	hai
उसकी	uski
खर्वब	kharb
करने	karne
के	k
बाद	bd
तुम	tum
जैसे	jaise
इनसान	insan
का	ka
सोच	soch
कभि	kbhi
नई	nai
बादल	badal
सकता	sakta
भाई	bhai
ये	ye
को	ko
तू	tu
कही	kahi
में	mein
तो	to
नई	ni
कर	kar
रहा	raha
वाला	wala
मस्त	mast
है	h
बश	bss
इसी	isi
के	k
भरोसे	bharose
में	m
अपना	apna
नही	ni
लेती	leti
एक	ek
पीके	pike
तो	to
तू	tu
को	k
तक	take
खुल	khul
ज्वबङ्गे	jwnge
अब	ab
इस	is
पे	pe
करने	krne
के	k
लिय़ा	lia
कुछ	kch
और	aur
नई	nai
बचा	bacha
क्या	kya
भाई	bhai
इतना	itne
में	me
तो	to
एक	ek
पूरी	puri
की	ki
खतम	khatam
हो	ho
जाती	jati
है	h
छोकर	chodkr
कुछ	kuch
भी	b
करलो	krlo
क्यू	kyu
पका	paka
रहे	rhe
हो	ho
सुबह	subah
से	se
में	me
भी	b
है	h
उफ़	uff
ओले	ole
ओले	ole
हर	har
बात	bat
पे	pe
बोलते	bolte
हो	ho
पापा	papa
ने	ne
कुछ	kuch
नई	nai
सिखाया	sikhaya
भाई	bhai
पेहले	phle
उसे	use
धुन्द	dhund
तो	to
ले	le
भी	b
कर	kr
लिओ	lio
ये	ye
है	h
तेरी	teri
थोड़ी	thodi
है	h
जो	jo
वो	wo
अब	ab
मिलेगी	milegi
तुझे	tjhe
किय़ा	ky
लगता	lgta
है	h
वो	wo
भी	vhi
कर	kr
रही	ri
है	h
तेरा	tera
तू	tu
जाएगा	jaega
कर	kr
लेगा	lega
किय़ा	ky
हो	ho
इय़ार	yr
तुम	tm
लोग	log
हा	ha
ठिक	thk
खा	kha
हर	har
लड़की	ladki
एक	ek
जैसे	jaise
नही	ni
होती	hoti
कुछ	kuch
ऐसी	aisi
होती	hoti
है	h
जो	jo
पर	par
करती	krti
है	h
सारे	sare
लड़के	ladke
भी	bhi
नही	ni
है	h
लड़के	ladke
लड़कियाँ	ladkiya
धोकेबाज	dhokebaj
है	h
भाई	bhai
आच्छा	acha
काम	kaam
कर	kar
रहे	rahe
हो	ho
अचानक	achaanak
क्या	kya
हुआ	hua
पेहले	phle
तो	to
क्या	kya
होते	hote
थे	the
एक	ek
दम	dum
से	se
ये	ye
क्या	kya
था	tha
बे	be
गउ	gaud
तुम्हारी	tumhari
तादाद	tadad
कम	kam
करने	karne
क	k
लिए	liye
नया	naya
डाल	dal
बनाना	banana
पड़ेगा	padega
दिख	dikh
मत	mat
जैयो	jaiyo
वरना	warna
ओय़ाइ	wai
कर	kar
दूंगा	dunga
वाले	wale
के	k
बीती	beti
शुनकर	sunkr
मुझे	mje
की	ki
का	k
याद	yad
आ	aa
गयी	gi
वो	wo
ब	b
वाले	wale
क	k
ही	hi
बीती	beti
थी	thi
कदर	kadr
उस	us
चाबी	chabi
की	ki
होती	hoti
है	h
जो	jo
हर	hr
ठाले	taleey
को	ko
खोल	khol
दे	de
ना	na
की	ki
ठाले	taleey
की	ki
जो	jo
हर	hr
चाबी	chabi
से	se
खुल	khul
जाए	jaye
बेटे	bete
के	ke
नही	ni
है	h
देखने	dekhne
के	ke
लिए	liye
इतनी	itni
गालिय़ा	gaaliyan
दे	de
रहि	rhi
होती	hoti
हवस	hawas
के	ke
पुजारी	pujari
शादि	shadi
के	ke
बाद	bad
ही	hi
कर	kr
लिओ	lyo
ये	ye
सब	sb
पेहले	phle
करेगा	krega
तो	to
बाद	bad
में	me
क्या	kya
करेगा	krega
आबे	abbe
सुबाह	subah
सुबाह	subah
क्या	kya
हो	ho
गया	gya
तुझे	tujhe
जा	ja
कर	k
छाई	chai
पी	pi
हामे	hme
भी	v
पीने	pine
दे	de
आप	ap
उसे	use
बोल	bol
क्यू	q
नही	ni
देते	dete
में	m
आपको	apko
थोड़ा	thoda
है	h
समझेगि	smjhegi
अगर	agr
करती	krti
है	h
तो	to
शाले	sale
कुतिया	kutiya
सी	si
बन	ban
के	ke
बैठ	baith
गया	gya
तू	tu
उसकी	uski
बगल	bagal
में	me
तो	to
ऐसे	aise
खा	kha
होरी	hori
तेरी	teri
कितने	kitne
दिन	din
तक	tk
होगा	hoga
का	ka
अब	ab
इस	iss
को	ko
हटा	hta
हटा	bi
दे	de
भाई	bhai
अब	ab
कभी	kabhi
नही	nahi
करेगा	karega
अब	ab
जब	jab
भी	bhi
ऐसा	aisa
होगा	hoga
तू	tu
भागेगा	bhagega
क्या	kya
उखाड़	ukhad
लेगा	lega
मैं	m
जा	ja
के	k
इसे	isse
में	me
चले	chale
जाओ	jao
तो	toh
वो	vo
भी	b
है	h
मुझे	muje
समझ	smj
नेहि	nh
आ	aa
राहा	rha
किय़ा	kia
करु	kru
जो	jo
सोचा	socha
वो	wo
सब	sb
लोगों	logo
ने	ne
कर	kr
दिए	die
कौन	kaun
सा	sa
किया	kiya
तेरे	tere
ने	ne
जो	jo
तू	tu
होकर	hokr
सीधा	sidha
पे	pe
चली	chali
ग्याय़ि	gyi
अगर	agar
एक	ek
बार	baar
अच्छे	acche
खासे	khase
भिखारीओ	bhikahriyo
को	ko
में	me
बाँट	bant
दे	de
तो	to
की	ki
बहुत	bahut
सारी	saare
लोग	log
चुथिय़ा	chutiya
बन	ban
ने	ne
बच	bach
जाएंगे	jayenge
जो	jo
सिर्फ़	sirf
नाम	naam
के	ke
करण	karan
खरिदते	kharidte
है	h
उसे	usse
में	me
बात	baat
करने	krne
दे	de
तू	tu
में	me
उसको	usko
कर	kr
हमेशा	hameshaa
धीरे	dheere
धीरे	dheere
उसको	usko
भी	v
आदत	aadat
हो	h
याय़ेगि	jyegi
में	me
बात	baat
करने	krne
की	k
हद	hdh
है	h
तुम्हे	tumhe
था	tha
उस	us
में	mein
तबहि	tbi
उसकी	uski
की	ki
उसने	usne
कभि	kbi
कहा	kaha
वो	wo
करती	krti
है	h
तो	to
बश	bs
उस	use
क्यू	kyu
कह	keh
रहे	rhe
हो	ho
की	ki
उस	use
कर	kra
है	h
तुम्हे	tumhe
मेरी	meri
मन	man
पेहले	phle
वाली	wali
के	k
मजे	maze
ले	le
मैने	mene
भी	b
यही	yahi
किय़ा	kia
तेरे	tere
सर	sir
पे	pe
लिखा	likha
था	tha
क्या	kya
चु*	chu*
भिखारी	bhikhari
य्याय़सि	jesi
हालत	halat
में	me
जाएगा	jayega
तब	tb
तो	to
कोई	koi
भी	b
करेगा	karega
इस	is
आ	aa
आ	aa
पाप	paap
की	ki
पहले	pehle
वाले	wale
में	mein
क्या	kya
बुराई	buraai
थी	thi
कोई	koi
तो	to
रोक	rok
लो	lo
इस	ise
बरना	wrna
ये	ye
दुनिया	dunya
तबाह	tabah
कर	kr
देगा	dega
सबसे	sabse
बड़ी	badi
गलती	galti
तो	to
के	k
बन्दे	bande
को	ko
बनाकर	bnakar
की	ki
भक	bhak
शाले	sale
बताऊँ	bataun
और	r
कोई	koe
काम	kam
नही	nae
है	h
क्या	kya
मुझे	mujhe
पे	pe
कर	kar
हो	ho
गया	gya
क्या	kya
तू	tu
आज	aaj
यहाँ	yaha
तो	to
भी	b
चलेगा	chlega
पर	par
कोई	koi
हो	ho
तो	to
सही	sahi
बोना	bona
मजे	mazze
लेने	lene
के	ke
चक्कर	chakkr
में	me
था	tha
पेला	pela
गया	gya
और	aur
क्या	kya
भाई	bhai
कर	kr
दे	de
उन्हे	unhe
वो	vo
जो	jo
नही	nahi
है	h
तेरी	teri
में	m
है	h
तबहि	tbi
तो	to
शादि	shadi
करना	krana
चाहते	chahte
है	h
देखिय़े	dkhiye
लड़कियाँ	ladkiya
भी	bi
कुछ	kch
कम	kam
नही	ni
होती	hoti
के	kai
लड़के	ladke
ऐसे	aise
भी	bi
है	hai
की	ki
जो	jo
ऐसे	aise
लड़कियो	ladkiyo
से	se
भी	bi
शादि	shadi
करते	karte
है	hai
जो	jo
हो	ho
उनके	unke
बच्चो	bacho
को	ko
अपना	apna
नाम	naam
देते	dete
है	hai
और	ur
जिंदगी	jindagi
भर	bhar
खुन	khun
पसीना	pasina
करके	krke
उस	use
अपने	apne
बच्चो	bache
की	ki
तरहा	tarah
पलते	palte
है	hai
तुम	tum
पहले	ple
ऐसा	aisa
मत	mat
करो	kro
तुम्हारे	tumhare
लिए	liye
बहुत	bahut
होगा	hoga
अपने	apne
घर	ghr
मै	mai
बताना	batana
तुम	tum
भी	b
नेहि	nh
पड़	pad
रहे	rhe
होंगे	hoge
आपको	aapko
तो	toh
पता	pata
होगा	hoga
ये	ye
कौन	kaun
है	h
आप	aap
तो	toh
कुछ	kuch
कर	kar
सकते	skte
हो	ho
इसे	isse
पहले	phele
वो	woh
कोई	koi
गलत	galat
ले	le
फट्टु	fattu
तू	tu
अपने	apne
का	k
बता	bta
देख	dekh
तेरे	tere
का	ka
क्या	kya
होगा	hoga
ये	ye
का	k
की	ki
है	h
कोई	koi
नहीं	nhi
ह	h
क्या	kya
पागलपन्ति	pagalpanti
है	h
घर	ghar
से	se
भाग	bhag
जाना	jana
किसी	kisi
का	ka
नही	naii
है	hai
भी	b
इय़ार	yr
सच	sach
बता	btaa
दे	de
सब	sab
को	ko
नहीं	nhi
मैंने	maine
उस	usse
प्याय़ार	pyr
करने	karne
से	se
फाले	phale
ये	ye
शरात	sharat
तो	to
नहीं	nhi
रखी	rakhi
ती	ti
की	ki
वो	wo
भी	bi
मज	muj
से	se
प्याय़ार	pyr
करेगी	karegi
प्यार	pyar
में	mein
शर्ते	sharte
नहीं	nhi
होती	hoti
बश	bs
प्याय़ार	pyr
होता	hota
है	hai
और	aur
तो	to
क्या	kya
हुआ	hua
आज	aj
वो	wo
मेरे	mere
साथ	sath
नहीं	nhi
है	hai
मुझे	muje
जब	jab
भी	bi
उसकी	uski
याद	yaad
आती	ati
है	hai
में	mein
अपनी	apni
आँखे	ankhe
बंद	band
कर	kar
लेता	leta
हू	hu
और	aur
भी	wo
सामने	samane
आ	a
जाती	jati
है	hai
आज	aj
कल	kal
के	k
को	ko
भी	v
नई	nai
छोड़ते	chhodte
यार	yar
तुम्हे	tumhe
को	ko
करना	karna
चाहिय़े	cahiye
था	tha
इस	is
मैं	main
देश	desh
को	ko
चलने	chalane
वाले	wale
तो	to
वो	vo
हैं	hain
तो	to
हम	hum
क्या	kya
करे	krein
तेरे	tere
मामा	mama
पापा	papa
थोड़ी	thodi
है	h
जो	jo
तक	teko
देकर	dekar
समझते	smjate
फिरे	firein
जो	jo
करना	krna
है	h
करे	kr
इय़ार	yr
उल्लू	ullu
भुखे	bukhey
सब	sab
कुछ	kch
को	ko
इय़ार	yr
आँख	aakh
खुले	khule
नही	ni
ओर	or
ये	ye
पद	pd
लिया	liya
दिन	din
ही	he
ख़राब	krab
है	h
ये	ye
यहाँ	yaha
भी	v
आ	aa
गया	gya
अपनी	apni
बकबास	bakwash
लेकर	lekar
ओर	or
जी	ji
नमो	namo
में	me
सोचता	sochta
हू	hu
लोग	log
इतना	itne
कैसे	kaise
मारते	marte
हो	h
तुमने	tumne
अपने	apne
का	ka
तो	to
करबाय़ा	krvaya
होगा	hoga
ना	na
तो	toh
देखा	dekha
आपने	aapne
क्याय़से	kese
इस	is
ने	ne
इस	is
इन्सान	insaan
की	ki
ज़िंदगी	zindgi
बदल	badal
दी	di
तो	toh
जळी	jaldi
कीजिये	kijiye
ये	ye
और	aur
अपनी	apni
ज़िंदगी	zindgi
में	me
बदलाव	badlaav
महसूस	mehsus
कीजिये	kijiye
बदला	badla
लेना	lena
है	h
से	se
जब	jab
भूल	bhul
जाते	jate
है	h
तो	to
को	ko
भुलने	bhulne
में	me
क्या	kya
पैसे	paise
लगते	lgte
है	h
को	ko
बोलो	bolo
धुन्द	dhund
दे	de
फिर	fir
वाले	wale
को	k
की	ki
कम	km
फेकना	fekna
चाहिय़े	chaie
था	tha
जीना	jeena
नहीं	nhi
हे	h
तो	to
लगा	lga
के	k
आगे	age
बड़ो	bdho
ग	g
तुझे	tujhe
क्या	kya
लगता	laga
था	tha
पर	pr
आयेगा	ayega
हाँ	haa
अब	ab
बश	bs
यही	yahi
बचा	bacha
है	h
के	k
नम	nam
पर	pr
लड़की	ladki
को	ko
क्या	kya
लेने	lene
के	k
लिए	liye
बताया	bataya
था	tha
मत	mat
लो	lo
दोस्तों	dosto
थोड़े	thode
दिन	din
बार	baad
इसका	iska
वाला	wala
भी	bhi
आयेगा	ayega
पक्का	pakka
दिल	dil
कर	kr
दिया	diya
याई	yai
लिख	likh
कर	kr
काँहापे	kahape
करे	karey
आपको	apko
जी	g
पे	pe
परसों	parso
ही	hi
का	ka
हुआ	huya
हूँ	hun
और	aur
अबी	abi
तक	tak
हूँ	hun
तू	tu
शाले	sale
में	me
ही	hi
लड़की	ladki
बजी	baji
करने	karne
ला	lag
गया	gaya
था	tha
कमीने	kamine
शादि	shadi
अपने	apne
से	se
करनी	karni
चाहिए	chahiye
दुसरो	dusro
क	k
से	se
तो	to
भी	bi
कर	kra
देंगे	denge
यार	yaar
करते	karte
हो	ho
या	ya
इतना	itna
बड़ा	bada
बड़ा	bada
ये	ye
नहीं	nhi
दिख	dikh
रहा	raha
किसी	kisi
को	ko
च***इय़ा	ch***ya
तेरि	teriii
तुझे	tujhe
अपने	apne
कुत्ते	kutte
से	se
कर	kar
री	rii
हे	h
तो	to
में	mei
ग्याय़ि	gyi
थी	thi
क्या	kya
परसों	parso
ही	hi
का	ka
हुआ	huya
हूँ	hun
और	aur
अबी	abi
तक	tak
हूँ	hun
तू	tu
शाले	sale
में	me
ही	hi
लड़की	ladki
बजी	baji
करने	karne
ला	lag
गया	gaya
था	tha
कमीने	kamine
दूसरी	dusri
धुन्द	dhoond
लो	lo
नहीं	nhi
लगेगा	lgega
के	k
ये	ye
वाला	wala
प्यार	pyar
था	tha
तू	tu
एक	ek
घमंडी	ghamandi
है	hai
चुथिय़ा	chutia
लड़की	ladki
तेरे	tere
को	ko
पाता	pta
नई	nai
होगा	hoga
की	ki
उसने	usne
तुझे	tujhe
किय़ा	kia
है	hai
ओर	or
सिर्फ़	sirf
पे	pe
ही	hi
लोग	log
एय़से	aese
उच्च	uchh
विचार	vichar
क्यू	kyu
रखते	rakhte
आये	ae
कब	kb
तक	tak
होकर	hokr
भी	bi
की	ki
बेजति	bezti
करते	krte
रहगे	rhoge
हम	hm
भगवान	bhagwan
एइसि	esi
सब	sb
को	ko
दे	de
पर	par
मुझसे	mjhse
करे	kre
कोई	koi
एइसा	essa
नही	ni
होता	hota
